x,y,latitude,transparen,station_vi,longitude,fid,visit_date,color_id
23.9647,57.0235,57.023499999999999,2.200000000000000,98103.0,23.964700000000001,84,1998/06/01 13:40:00.000,15.0
23.829,56.9858,56.985799999999998,2.300000000000000,98106.0,23.829000000000001,85,1998/06/01 16:35:00.000,13.0
23.786,56.9772,56.977200000000003,2.100000000000000,98107.0,23.786000000000001,86,1998/06/01 17:00:00.000,13.0
23.7273,56.9693,56.969299999999997,2.100000000000000,98108.0,23.727300000000000,87,1998/06/01 17:45:00.000,13.0
23.6897,56.9652,56.965200000000003,2.000000000000000,98109.0,23.689699999999998,88,1998/06/01 18:05:00.000,15.0
23.6162,56.9685,56.968499999999999,2.300000000000000,98110.0,23.616199999999999,89,1998/06/01 20:45:00.000,15.0
23.562,56.9798,56.979799999999997,2.000000000000000,98111.0,23.562000000000001,90,1998/06/01 21:15:00.000,15.0
23.5255,56.9984,56.998399999999997,2.100000000000000,98112.0,23.525500000000001,91,1998/06/01 21:40:00.000,15.0
23.3679,57.0472,57.047199999999997,2.000000000000000,98113.0,23.367899999999999,92,1998/06/02 18:55:00.000,13.0
23.2411,57.1109,57.110900000000001,1.800000000000000,98114.0,23.241099999999999,93,1998/06/02 19:55:00.000,9.0
24.0017,57.0833,57.083300000000001,1.400000000000000,98116.0,24.001700000000000,94,1998/06/03 12:30:00.000,21.0
23.9833,57.1,57.100000000000001,1.500000000000000,98117.0,23.983300000000000,95,1998/06/03 13:25:00.000,21.0
23.9792,57.0737,57.073700000000002,1.300000000000000,98118.0,23.979199999999999,96,1998/06/03 14:20:00.000,21.0
23.9683,57.0433,57.043300000000002,1.800000000000000,98119.0,23.968299999999999,97,1998/06/03 15:10:00.000,19.0
23.92,57.025,57.024999999999999,1.500000000000000,98120.0,23.920000000000002,98,1998/06/03 16:00:00.000,19.0
23.7433,56.98,56.979999999999997,1.600000000000000,98122.0,23.743300000000001,99,1998/06/03 17:50:00.000,15.0
23.705,56.9767,56.976700000000001,2.000000000000000,98123.0,23.704999999999998,100,1998/06/03 19:05:00.000,15.0
23.4867,57.0467,57.046700000000001,2.200000000000000,98125.0,23.486699999999999,101,1998/06/03 20:25:00.000,13.0
23.6667,57.1667,57.166699999999999,3.100000000000000,98126.0,23.666699999999999,102,1998/06/03 22:05:00.000,11.0
23.2754,57.173,57.173000000000002,2.700000000000000,98127.0,23.275400000000001,103,1998/06/04 05:15:00.000,11.0
23.2123,57.3275,57.327500000000001,2.400000000000000,98128.0,23.212299999999999,104,1998/06/04 06:55:00.000,9.0
23.4833,57.4,57.399999999999999,3.600000000000000,98129.0,23.483300000000000,105,1998/06/04 08:35:00.000,9.0
23.6167,57.6167,57.616700000000002,3.500000000000000,98130.0,23.616700000000002,106,1998/06/04 10:25:00.000,9.0
23.9167,57.85,57.850000000000001,3.000000000000000,98131.0,23.916699999999999,107,1998/06/04 15:05:00.000,9.0
24.2433,57.88,57.880000000000003,2.000000000000000,98132.0,24.243300000000001,108,1998/06/04 16:45:00.000,9.0
24.2518,57.7633,57.763300000000001,2.700000000000000,98133.0,24.251799999999999,109,1998/06/04 18:05:00.000,9.0
24.1167,57.6,57.600000000000001,2.600000000000000,98134.0,24.116700000000002,110,1998/06/04 19:40:00.000,9.0
24.3367,57.5933,57.593299999999999,2.600000000000000,98135.0,24.336700000000000,111,1998/06/04 20:55:00.000,11.0
24.3533,57.4483,57.448300000000003,1.900000000000000,98136.0,24.353300000000001,112,1998/06/04 22:20:00.000,21.0
23.85,57.3,57.299999999999997,2.800000000000000,98137.0,23.850000000000001,113,1998/06/05 07:20:00.000,9.0
24.0833,57.35,57.350000000000001,2.900000000000000,98138.0,24.083300000000001,114,1998/06/05 09:05:00.000,9.0
24.3733,57.315,57.314999999999998,2.000000000000000,98139.0,24.373300000000000,115,1998/06/05 10:45:00.000,21.0
24.3667,57.24,57.240000000000002,1.500000000000000,98140.0,24.366700000000002,116,1998/06/05 11:55:00.000,21.0
24.25,57.1683,57.168300000000002,1.500000000000000,98141.0,24.250000000000000,117,1998/06/05 13:00:00.000,19.0
24.090333,57.093833,57.093832999999997,1.400000000000000,98142.0,24.090333000000001,118,1998/06/05 14:45:00.000,21.0
24.4067,57.2627,57.262700000000002,2.000000000000000,98162.0,24.406700000000001,119,1998/06/15 14:55:00.000,15.0
24.405,57.3065,57.306500000000000,2.000000000000000,98163.0,24.405000000000001,120,1998/06/15 15:55:00.000,13.0
24.4013,57.3273,57.327300000000001,2.200000000000000,98164.0,24.401299999999999,121,1998/06/15 16:50:00.000,13.0
24.3803,57.493,57.493000000000002,1.800000000000000,98165.0,24.380299999999998,122,1998/06/15 19:48:00.000,13.0
24.3817,57.6263,57.626300000000001,2.200000000000000,98166.0,24.381699999999999,123,1998/06/16 11:30:00.000,15.0
23.85,57.3,57.299999999999997,4.600000000000000,98168.0,23.850000000000001,124,1998/06/19 12:40:00.000,17.0
24.0017,57.0833,57.083300000000001,1.300000000000000,98171.0,24.001700000000000,125,1998/06/19 16:20:00.000,21.0
24.1414,57.0965,57.096499999999999,1.600000000000000,98173.0,24.141400000000001,126,1998/07/06 11:20:00.000,19.0
24.103,57.0833,57.083300000000001,1.400000000000000,98174.0,24.103000000000002,127,1998/07/06 11:50:00.000,21.0
23.9647,57.0235,57.023499999999999,1.700000000000000,98176.0,23.964700000000001,128,1998/07/06 13:35:00.000,19.0
23.8785,56.9945,56.994500000000002,1.600000000000000,98178.0,23.878499999999999,129,1998/07/06 15:45:00.000,15.0
23.829,56.9858,56.985799999999998,1.700000000000000,98179.0,23.829000000000001,130,1998/07/06 16:15:00.000,13.0
23.786,56.9772,56.977200000000003,1.600000000000000,98180.0,23.786000000000001,131,1998/07/06 16:35:00.000,15.0
23.7273,56.9693,56.969299999999997,1.600000000000000,98181.0,23.727300000000000,132,1998/07/06 17:00:00.000,15.0
23.6897,56.9652,56.965200000000003,1.800000000000000,98182.0,23.689699999999998,133,1998/07/06 17:25:00.000,15.0
23.6162,56.9685,56.968499999999999,1.800000000000000,98183.0,23.616199999999999,134,1998/07/06 19:15:00.000,15.0
23.562,56.9798,56.979799999999997,1.800000000000000,98184.0,23.562000000000001,135,1998/07/06 19:40:00.000,13.0
23.5255,56.9984,56.998399999999997,1.800000000000000,98185.0,23.525500000000001,136,1998/07/06 20:10:00.000,11.0
23.3679,57.0472,57.047199999999997,2.000000000000000,98186.0,23.367899999999999,137,1998/07/07 06:45:00.000,11.0
23.2411,57.1109,57.110900000000001,2.100000000000000,98187.0,23.241099999999999,138,1998/07/07 07:50:00.000,9.0
23.6167,57.6167,57.616700000000002,3.000000000000000,98188.0,23.616700000000002,139,1998/07/08 05:15:00.000,17.0
23.9167,57.85,57.850000000000001,3.000000000000000,98189.0,23.916699999999999,140,1998/07/08 08:45:00.000,15.0
24.2433,57.88,57.880000000000003,2.500000000000000,98190.0,24.243300000000001,141,1998/07/08 11:10:00.000,17.0
24.2518,57.7633,57.763300000000001,2.500000000000000,98191.0,24.251799999999999,142,1998/07/08 12:45:00.000,17.0
24.1167,57.6,57.600000000000001,2.500000000000000,98192.0,24.116700000000002,143,1998/07/08 14:30:00.000,15.0
24.3367,57.5933,57.593299999999999,2.000000000000000,98193.0,24.336700000000000,144,1998/07/08 15:40:00.000,19.0
24.3533,57.4483,57.448300000000003,2.000000000000000,98194.0,24.353300000000001,145,1998/07/08 17:00:00.000,21.0
24.0833,57.35,57.350000000000001,2.500000000000000,98195.0,24.083300000000001,146,1998/07/08 18:50:00.000,15.0
23.85,57.3,57.299999999999997,2.500000000000000,98196.0,23.850000000000001,147,1998/07/08 20:20:00.000,13.0
23.4833,57.4,57.399999999999999,3.000000000000000,98197.0,23.483300000000000,148,1998/07/09 05:00:00.000,17.0
23.2123,57.3275,57.327500000000001,2.500000000000000,98198.0,23.212299999999999,149,1998/07/09 06:40:00.000,19.0
23.2754,57.173,57.173000000000002,2.500000000000000,98199.0,23.275400000000001,150,1998/07/09 08:20:00.000,19.0
23.6667,57.1667,57.166699999999999,2.500000000000000,98200.0,23.666699999999999,151,1998/07/09 10:20:00.000,17.0
23.4867,57.0467,57.046700000000001,2.500000000000000,98201.0,23.486699999999999,152,1998/07/09 11:40:00.000,13.0
23.705,56.9767,56.976700000000001,2.000000000000000,98202.0,23.704999999999998,153,1998/07/09 12:46:00.000,11.0
23.7433,56.98,56.979999999999997,2.000000000000000,98203.0,23.743300000000001,154,1998/07/09 13:50:00.000,11.0
23.92,57.025,57.024999999999999,1.500000000000000,98204.0,23.920000000000002,155,1998/07/09 15:00:00.000,19.0
23.9683,57.0433,57.043300000000002,2.000000000000000,98205.0,23.968299999999999,156,1998/07/09 15:45:00.000,19.0
23.9792,57.0737,57.073700000000002,1.500000000000000,98206.0,23.979199999999999,157,1998/07/09 16:25:00.000,21.0
24.0017,57.0833,57.083300000000001,1.500000000000000,98207.0,24.001700000000000,158,1998/07/09 17:00:00.000,21.0
23.9833,57.1,57.100000000000001,1.500000000000000,98208.0,23.983300000000000,159,1998/07/09 17:50:00.000,21.0
24.048666,57.1165,57.116500000000002,1.500000000000000,98209.0,24.048666000000001,160,1998/07/09 18:30:00.000,17.0
24.097,57.0986,57.098599999999998,1.500000000000000,98210.0,24.097000000000001,161,1998/07/09 19:05:00.000,19.0
24.25,57.1683,57.168300000000002,1.500000000000000,98211.0,24.250000000000000,162,1998/07/09 20:25:00.000,19.0
24.3667,57.24,57.240000000000002,1.500000000000000,98212.0,24.366700000000002,163,1998/07/09 21:40:00.000,19.0
24.3733,57.315,57.314999999999998,1.500000000000000,98213.0,24.373300000000000,164,1998/07/10 05:35:00.000,19.0
23.85,57.3,57.299999999999997,2.600000000000000,98245.0,23.850000000000001,165,1998/07/23 13:00:00.000,11.0
24.0017,57.0833,57.083300000000001,1.600000000000000,98246.0,24.001700000000000,166,1998/07/23 16:10:00.000,17.0
24.394,57.2462,57.246200000000002,0.800000000000000,98248.0,24.393999999999998,167,1998/07/27 12:25:00.000,21.0
24.4067,57.2627,57.262700000000002,0.900000000000000,98249.0,24.406700000000001,168,1998/07/27 12:50:00.000,21.0
24.405,57.3065,57.306500000000000,0.800000000000000,98250.0,24.405000000000001,169,1998/07/27 14:05:00.000,21.0
24.4013,57.3273,57.327300000000001,0.900000000000000,98251.0,24.401299999999999,170,1998/07/27 14:25:00.000,21.0
24.3803,57.493,57.493000000000002,1.000000000000000,98252.0,24.380299999999998,171,1998/07/27 16:15:00.000,19.0
24.3817,57.6263,57.626300000000001,1.400000000000000,98253.0,24.381699999999999,172,1998/07/27 17:10:00.000,15.0
