x,y,latitude,transparency_m,station_vi,longitude,fid,visit_date,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area
24.3733,57.315,57.315,1.8,202065,24.3733,1500,2002/04/25 11:35:00.000,15,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
24.3667,57.24,57.24,2,202066,24.3667,1501,2002/04/25 12:40:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.25,57.1683,57.1683,1.8,202067,24.25,1502,2002/04/25 13:50:00.000,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.097,57.0986,57.0986,1.7,202068,24.097,1503,2002/04/25 15:15:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.85,57.3,57.3,1.8,202069,23.85,1504,2002/04/25 18:00:00.000,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.0017,57.0833,57.0833,2.3,202071,24.0017,1505,2002/05/07 10:30:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9833,57.1,57.1,1.9,202072,23.9833,1506,2002/05/07 12:15:00.000,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.097,57.0986,57.0986,2.7,202073,24.097,1507,2002/05/07 14:00:00.000,11,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.25,57.1683,57.1683,2.1,202074,24.25,1508,2002/05/07 15:45:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.2167,57.1833,57.1833,1.3,202075,24.2167,1509,2002/05/07 17:20:00.000,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
