longitude,latitude,visit_date,transparency_m,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.9833,57.1,2005-08-04T19:20:00Z,2,20,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,4,8,2005,2005,Jun-01:Aug-30,FALSE,summer
23.85,57.3,2005-08-10T06:50:00Z,2.9,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,10,8,2005,2005,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,2019-04-12T12:00:00Z,1.8,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,12,4,2019,2019,Mar-02:May-30,FALSE,spring
23.85,57.3,2019-04-12T12:55:00Z,1.8,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,12,4,2019,2019,Mar-02:May-30,FALSE,spring
23.9833,57.1,2019-04-30T10:03:00Z,2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,30,4,2019,2019,Mar-02:May-30,FALSE,spring
23.85,57.3,2019-04-30T13:46:00Z,1.8,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,30,4,2019,2019,Mar-02:May-30,FALSE,spring
23.9833,57.1,2019-05-15T14:40:00Z,1.9,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,15,5,2019,2019,Mar-02:May-30,FALSE,spring
23.85,57.3,2019-05-16T16:40:00Z,2.1,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,16,5,2019,2019,Mar-02:May-30,FALSE,spring
23.85,57.3,2019-08-01T13:18:00Z,2.5,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,1,8,2019,2019,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,2019-08-01T16:37:00Z,2.7,11,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,1,8,2019,2019,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,2019-09-26T12:25:00Z,3.7,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,26,9,2019,2019,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,2019-11-26T13:45:00Z,1.8,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,26,11,2019,2019,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1994-01-04T11:20:00Z,4.8,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,4,1,1994,1994,Dec-01:Mar-01,FALSE,winter
23.9833,57.1,1994-01-04T13:30:00Z,3,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,4,1,1994,1994,Dec-01:Mar-01,FALSE,winter
23.85,57.3,1994-04-12T07:40:00Z,0.7,21,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,12,4,1994,1994,Mar-02:May-30,FALSE,spring
23.9833,57.1,1994-04-12T10:35:00Z,0.6,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,12,4,1994,1994,Mar-02:May-30,FALSE,spring
23.9833,57.1,1994-04-21T08:45:00Z,0.9,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,21,4,1994,1994,Mar-02:May-30,FALSE,spring
23.85,57.3,1994-05-07T14:00:00Z,1,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,7,5,1994,1994,Mar-02:May-30,FALSE,spring
23.9833,57.1,1994-05-08T03:50:00Z,1,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,8,5,1994,1994,Mar-02:May-30,FALSE,spring
23.85,57.3,1994-05-18T08:40:00Z,2.5,16,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,18,5,1994,1994,Mar-02:May-30,FALSE,spring
23.9833,57.1,1994-05-18T14:15:00Z,1.5,20,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,18,5,1994,1994,Mar-02:May-30,FALSE,spring
23.85,57.3,1994-06-06T08:30:00Z,3.5,16,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,6,6,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-06-06T11:05:00Z,2.1,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,6,6,1994,1994,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1994-06-14T03:10:00Z,4,16,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,14,6,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-06-16T12:55:00Z,1.9,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,16,6,1994,1994,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1994-06-27T10:40:00Z,3.9,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,27,6,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-06-27T12:15:00Z,2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,27,6,1994,1994,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1994-07-25T08:18:00Z,3.6,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,25,7,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-07-25T10:20:00Z,2.4,20,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,25,7,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-08-05T07:15:00Z,1.8,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,5,8,1994,1994,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1994-08-05T10:10:00Z,3.2,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,5,8,1994,1994,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1994-08-16T08:25:00Z,5,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,16,8,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-08-16T10:40:00Z,4,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,16,8,1994,1994,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1994-09-13T07:10:00Z,2.6,16,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,13,9,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1994-09-13T09:30:00Z,4,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,13,9,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-09-26T10:40:00Z,3,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,26,9,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1994-10-06T12:15:00Z,5,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,6,10,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-10-06T13:55:00Z,3.1,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,6,10,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-10-20T10:55:00Z,3,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,20,10,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1994-10-25T09:05:00Z,4.4,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,25,10,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-10-25T10:50:00Z,3.8,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,25,10,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-11-07T07:55:00Z,3,16,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,7,11,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1994-11-07T12:30:00Z,4.9,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,7,11,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1994-11-16T09:30:00Z,4.8,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,16,11,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-11-16T11:30:00Z,3.4,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,16,11,1994,1994,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1994-12-02T08:05:00Z,2,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,2,12,1994,1995,Dec-01:Mar-01,FALSE,winter
23.85,57.3,1994-12-16T09:20:00Z,4,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,16,12,1994,1995,Dec-01:Mar-01,FALSE,winter
23.9833,57.1,1994-12-16T10:55:00Z,2,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,16,12,1994,1995,Dec-01:Mar-01,FALSE,winter
23.85,57.3,1994-12-22T09:40:00Z,4,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,22,12,1994,1995,Dec-01:Mar-01,FALSE,winter
23.9833,57.1,1994-12-22T11:40:00Z,2.8,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,22,12,1994,1995,Dec-01:Mar-01,FALSE,winter
23.9833,57.1,1977-04-22T07:20:00Z,1.2,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,22,4,1977,1977,Mar-02:May-30,FALSE,spring
23.85,57.3,1977-04-21T19:00:00Z,2,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,21,4,1977,1977,Mar-02:May-30,FALSE,spring
23.85,57.3,1977-06-07T08:20:00Z,7,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,7,6,1977,1977,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1977-10-30T15:20:00Z,5,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,30,10,1977,1977,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1971-07-06T18:24:00Z,4.5,14,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,6,7,1971,1971,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1971-07-06T06:25:00Z,4.5,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,6,7,1971,1971,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1971-08-12T09:05:00Z,2.5,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,12,8,1971,1971,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1971-08-12T11:35:00Z,5,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,12,8,1971,1971,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,2014-04-29T12:00:00Z,1.8,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,29,4,2014,2014,Mar-02:May-30,FALSE,spring
23.85,57.3,2014-05-03T12:10:00Z,3,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,3,5,2014,2014,Mar-02:May-30,FALSE,spring
23.9833,57.1,2014-08-08T13:30:00Z,2.5,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,8,8,2014,2014,Jun-01:Aug-30,FALSE,summer
